author,title,page_count,rating,ratingCount,firstPub_year,ogPub_year,Binding,language,followers,review_counts,Publisher,genres
Louisa May Alcott,Little Women,449,4.11,1892023,1869,2004,Paperback,English,"7,515",37405,SignetClassics,"['Classics', 'Fiction', 'Historical', 'Historical Fiction', 'Young Adult', 'Romance', 'Historical', 'Literature', 'Childrens', 'Classics', 'Classic Literature', 'Audiobook']"
,"Dune (Dune, #1)",,,,,,,,,,,
J.K. Rowling,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",759,4.62,3173639,,,,,,,,
,1984,,,,,,,,,,,
Joseph Heller,Catch-22,453,3.98,770980,1961,2004,Paperback,English,"2,335",20082,Simon&Schuster,"['Classics', 'Fiction', 'Historical', 'Historical Fiction', 'War', 'Humor', 'Literature', 'Novels', 'Literature', 'American', 'Unfinished', 'Historical']"
Stephen King,The Stand,1152,4.34,680115,1978,1990,Hardcover,English,"785,977",24407,DoubledayBooks,"['Horror', 'Fiction', 'Fantasy', 'Science Fiction', 'Apocalyptic', 'Post Apocalyptic', 'Thriller', 'Science Fiction', 'Dystopia', 'Science Fiction', 'Apocalyptic', 'Audiobook', 'Classics']"
Ken Follett,"The Pillars of the Earth (Kingsbridge, #1)",976,4.32,696287,1989,2002,Paperback,English,"47,591",33668,NALTrade,"['Historical', 'Historical Fiction', 'Fiction', 'Historical', 'Fantasy', 'Classics', 'Historical', 'Medieval', 'Audiobook', 'Novels', 'European Literature', 'British Literature', 'Adult']"
Arthur Conan Doyle,"The Adventures of Sherlock Holmes (Sherlock Holmes, #3)",389,4.30,268122,1892,1998,Paperback,English,"20,138",7646,OxfordUniversityPress,"['Classics', 'Mystery', 'Fiction', 'Short Stories', 'Mystery', 'Crime', 'Mystery', 'Detective', 'Thriller', 'Mystery Thriller', 'Audiobook', 'Literature', 'Historical', 'Historical Fiction']"
Richard  Adams,"Watership Down (Watership Down, #1)",478,4.07,454588,1972,1975,Mass Market Paperback,English,"1,644",15013,AvonBooks,"['Classics', 'Fiction', 'Fantasy', 'Young Adult', 'Animals', 'Childrens', 'Adventure', 'Literature', 'Novels', 'Audiobook']"
,The Bell Jar,,,,,,,,,,,
Roald Dahl,Matilda,240,4.32,771987,1988,1998,Paperback,English,"22,268",19006,PuffinBooks,"['Childrens', 'Fiction', 'Classics', 'Fantasy', 'Childrens', 'Middle Grade', 'Young Adult', 'Humor', 'Audiobook', 'Fantasy', 'Magic', 'Novels']"
